Id,Title,Author,ISBN,IsBorrowed,BorrowedBy
859,Mike's New Car,Neville Armal,445194563-1,False,
860,In the Basement,Hermione Mundy,797191273-0,False,
861,"Cave of the Yellow Dog, The",Hollyanne Benam,989071948-7,False,
862,Peas at 5:30 (Erbsen auf halb 6),Katey Bielefeld,144185909-8,False,
863,Ninja Cheerleaders,Lester Tilston,353507962-4,False,
864,The Substitute 4: Failure Is Not an Option,Candie Rove,625387589-2,False,
865,Gone Fishin',Sascha Lockery,023390187-6,False,
866,Goldfish Memory,Emelyne Pelchat,185686916-4,False,
867,Stopped on Track,Ettie Woodall,589251562-1,False,
868,Exorcismus,Ermanno Arnett,814462755-5,False,
869,Beyond the Forest,Nichols Sheilds,601187073-2,False,
870,Fire and Ice,Romona Mosby,986889215-5,False,
871,Polyester,Grady Jakoubek,758104031-3,False,
872,"Solid Gold Cadillac, The",Pennie Follen,729361270-2,False,
873,Oedipus Rex (Edipo re),Toddy Machin,417403657-8,False,
874,Divorce - Italian Style (Divorzio all'italiana),Emmaline Haibel,212314007-4,False,
875,The Cop in Blue Jeans,Elsy Bubeer,893657599-6,False,
876,"Detour ",Lisbeth Finneran,604936668-3,False,
877,Party Girl,Ariella MacArdle,505310984-2,False,
878,Adrift (À Deriva),Brandtr McNysche,955162397-5,False,
879,Your Life in 65 (Tu vida en 65'),Linnie Gatty,951555278-8,False,
880,"Red Balloon, The (Ballon rouge, Le)",Gottfried Caghan,084095084-5,False,
881,"Count Dracula (Nachts, wenn Dracula erwacht)",Haven MacPaike,137978401-8,False,
882,Ball of Fire,Jeromy Bastin,443011099-9,False,
883,"Code, The (Mentale, La)",Rolland Rusling,682832694-6,False,
884,Joffrey: Mavericks of American Dance,Emmery Coggen,050202925-0,False,
885,Viper in the Fist,Kennie Halsted,579728460-X,False,
886,Dark Night of the Scarecrow,Merle Gitting,516154352-3,False,
887,Control (Kontroll),Cletis Bouldon,934397804-9,False,
888,School of Rock,Katuscha Broomhead,170249182-X,False,
889,House on Haunted Hill,Patience Basset,491737270-4,False,
890,"Neon Bible, The",Sutherland Aulsford,977843161-2,False,
891,Sam Peckinpah: Man of Iron,Robbie Paskerful,248481853-X,False,
892,War of the Robots (La guerra dei robot),Tracie Proffer,880295392-9,False,
893,"Nativity Story, The",Jason Casbon,890858012-3,False,
894,"Good Year, A",Winnie Travers,957183085-2,False,
895,Morons From Outer Space,Milli Kaines,444897996-2,False,
896,"Matrix Revolutions, The",Garrard Akess,187214037-8,False,
897,Professor Beware,Beck Petrulis,753977652-8,False,
898,One in the Chamber,Dalis Rosedale,397824795-X,False,
899,King Kong,Addie Ackerley,790856361-9,False,
900,Portrait Werner Herzog,Mead Pidgin,938293322-0,False,
901,Doctor Dolittle,Shayne MacCostigan,608352605-1,False,
902,To Sleep with Anger,Colette Bewley,295380759-4,False,
903,Saint Joan,Rosana Cops,123655332-2,False,
904,Rififi (Du rififi chez les hommes),Lenore Penwell,804712948-1,False,
905,Life On A String (Bian chang Bian Zou),Gerome Kornyakov,225410914-6,False,
906,Walk on Water,Padraig Zold,372930635-9,False,
907,Cobra,Lezlie Toffolo,121960010-5,False,
908,Wrestling (Bræðrabylta),Roosevelt Eddison,193361926-0,False,
909,"Secret of Roan Inish, The",Arliene Bartoszewicz,274893168-8,False,
910,Night on Earth,Sileas Knott,726964890-5,False,
911,"Last Exorcism, The",Romeo Willoughey,015806549-2,False,
912,"Year of the Wolf, The (Suden vuosi)",Roddie Malby,675633431-X,False,
913,Winter of Discontent,Piotr Vankov,298483139-X,False,
914,Franz Kafka's a Country Doctor,Garey Drysdale,400864035-5,False,
915,"Campaign, The",Cacilie Nehl,612734398-4,False,
916,Angels Over Broadway,Danny Buzine,988477476-5,False,
917,Bebe's Kids,Nicolais Chappelow,607573904-1,False,
918,Lightning Bolt: The Power of Salad,Benetta Jennings,356686606-7,False,
919,Het Vonnis,Roberta Rawlcliffe,991706580-6,False,
920,Skyline,Nonna Jaquiss,935897033-2,False,
921,Broderskab (Brotherhood),Jaquenette Bloor,186256876-6,False,
922,Secretariat,Liza Champagne,319355765-X,False,
923,Tyler Perry's Madea's Big Happy Family,Alanna Fairn,785994858-3,False,
924,Inuyasha the Movie: The Castle Beyond the Looking Glass,Averyl Brunon,127104199-5,False,
925,"Sailor Who Fell from Grace with the Sea, The",Catriona Clear,090517252-3,False,
926,Head Games,Ardeen Matisse,747751047-3,False,
927,"Deadly Trackers, The",Valentino Simonsson,746061773-3,False,
928,"Mostly Unfabulous Social Life of Ethan Green, The",Merill Shotboult,165713613-2,False,
929,Henry Fool,Gwyneth Sidebotton,782009818-X,False,
930,Inside Man,Estel Rouke,013086614-8,False,
931,Hum Tumhare Hain Sanam,Cheslie Keyhoe,539832747-X,False,
932,Russian Roulette,Avigdor Pleass,233717998-2,False,
933,"Match Factory Girl, The (Tulitikkutehtaan tyttö)",Anatol Kennea,771622666-5,False,
934,Cowboys & Aliens,Joelie Gunson,040421162-3,False,
935,Connections,Corrianne Beinke,503165125-3,False,
936,Black Beauty,Fernande Macci,167892177-7,False,
937,Barfi!,Giustino Toolan,268218185-6,False,
938,Kansas Raiders,Claiborne Volks,327270920-7,False,
939,"Pretty One, The",Vincenz Laytham,964579547-8,False,
940,Jim Jefferies: I Swear to God,Tilly Barley,518412042-4,False,
941,"Not for or Against (Quite the Contrary) (Ni pour, ni contre (bien au contraire))",Margit Bateson,190046192-7,False,
942,Bananas!*,Pris Ducker,322316994-6,False,
943,According to Spencer,Othello Dunaway,173765014-2,False,
944,Newsfront,Ancell Aris,318133938-5,False,
945,"Bridge, The (Most)",Chance Betz,903166488-X,False,
946,"Flesh Merchant, The (Wild and Wicked, The)",Reinwald Shemelt,177759251-8,False,
947,American Ninja 5,Humberto Younger,626811380-2,False,
948,Canned Dreams (Säilöttyjä unelmia),Riley McFarland,445103710-7,False,
949,Analyze That,Cathe Rubinfajn,747836482-9,False,
950,Barefoot (Barfuss),Gwendolen Gorham,733435462-1,False,
951,"Guyver, The",Octavia Batts,630220271-X,False,
952,Indian Summer,Raf Windram,064456182-3,False,
953,The Sex and Violence Family Hour,Gussie Ornells,457939249-3,False,
954,Mezzo Forte,Shawna Emms,286668268-8,False,
955,"Sentinel, The",Minny Bridgement,164604228-X,False,
956,"Marquise of O, The (Marquise von O..., Die)",Huntlee Brocklesby,254075946-7,False,
957,Meetin' WA,Anet Coaster,650640677-1,False,
958,Burning Palms,Myca Tyre,729001720-X,False,
959,El Lobo,Corty Cramer,604227037-0,False,
960,We Live Again,Clarabelle Hallybone,595369768-6,False,
961,"Hitchhiker's Guide to the Galaxy, The",Cos Bonehill,138418362-0,False,
962,Made in America,Adelaide Cheel,923150140-2,False,
963,Cut and Run (Inferno in diretta),Barbabas Fussie,447407776-8,False,
964,Queen of the Damned,Sanders Irdale,431509350-5,False,
965,Distant Thunder (Ashani Sanket),Laryssa de Courcey,829222725-3,False,
966,Vital,Carissa Arnison,864687034-0,False,
967,"Kindred, The",Von Ruos,711128787-8,False,
968,Joanna,Payton Gritland,103767754-4,False,
969,"Baby, the Rain Must Fall",Dennet Abethell,258268352-3,False,
970,Tokyo Joe,Ricard Panniers,950534781-2,False,
971,Secret Sunshine (Milyang),Rebbecca Reidie,323639942-2,False,
972,"Acla, The Descent into Floristella (La discesa di Aclà a Floristella)",Candice Coviello,728871850-6,False,
973,Hurry Sundown,Brose Bertomieu,381695803-6,False,
974,"Satan Bug, The",Leora Fibbens,202938280-9,False,
975,Family Business,Thedric Dumphy,167055392-2,False,
976,No Man's Land,Kinnie Lemoir,033878140-4,False,
977,"Glenn Miller Story, The",Gypsy Hartles,554743131-1,False,
978,Juno and the Paycock,Kristoffer Tidbold,982809068-6,False,
979,"Devil and Max Devlin, The",Robbie Yurlov,028165978-8,False,
980,Reclaim,Jacklyn Drinkwater,709102723-X,False,
981,"Loveless, The (Breakdown)",Shayna Simonett,613886740-8,False,
982,Killing Lincoln,Caresse Cow,759850232-3,False,
983,Medium Cool,Yetta Legge,813054292-7,False,
984,Rescue Dawn,Reiko Poynser,533634824-4,False,
985,"Flight of the Red Balloon (Voyage du ballon rouge, Le)",Mimi Hollingsby,815587589-X,False,
986,Carancho,Francene Aartsen,160031474-0,False,
987,Ecstasy (Éxtasis),Derk Norway,623752562-9,False,
988,Fruitvale Station,Allegra Abrahamsen,348941049-1,False,
989,Scatter My Ashes at Bergdorf's,Margie McCart,832169641-4,False,
990,6 Bullets,Rozele Mocquer,400345623-8,False,
991,"Guardian, The",Felita Scotts,236145241-3,False,
992,Chain of Fools,Tandie Wooffitt,296395780-7,False,
993,Varan the Unbelievable,Artemas Beuscher,800438326-2,False,
994,Symmetry (Symetria),Shaylynn Chastaing,065469838-4,False,
995,Glue,Saree Sussams,234179941-8,False,
996,"Strawberry Blonde, The",Arnold Doneld,363781856-6,False,
997,7 Faces of Dr. Lao,Fairleigh Giabucci,017881717-1,False,
998,Strange Invaders,Erminie Ferguson,617452655-0,False,
999,"Honeymoon Killers, The",Alvira Swindin,274601427-0,False,
1000,Shout,Willy Connolly,415144762-8,False,
